language,symbol,kind,source_rule
rust,mutable_specifier,NONTERMINAL,variadic_parameter
rust,_pattern,NONTERMINAL,parameter
rust,_type,NONTERMINAL,parameter
rust,mutable_specifier,NONTERMINAL,parameter
rust,self,NONTERMINAL,parameter
rust,string_literal,NONTERMINAL,extern_modifier
rust,_path,NONTERMINAL,visibility_modifier
rust,crate,NONTERMINAL,visibility_modifier
rust,self,NONTERMINAL,visibility_modifier
rust,super,NONTERMINAL,visibility_modifier
rust,_type_identifier,NONTERMINAL,_type
rust,abstract_type,NONTERMINAL,_type
rust,array_type,NONTERMINAL,_type
rust,bounded_type,NONTERMINAL,_type
rust,dynamic_type,NONTERMINAL,_type
rust,function_type,NONTERMINAL,_type
rust,generic_type,NONTERMINAL,_type
rust,macro_invocation,NONTERMINAL,_type
rust,metavariable,NONTERMINAL,_type
rust,never_type,NONTERMINAL,_type
rust,pointer_type,NONTERMINAL,_type
rust,reference_type,NONTERMINAL,_type
rust,removed_trait_bound,NONTERMINAL,_type
rust,scoped_type_identifier,NONTERMINAL,_type
rust,tuple_type,NONTERMINAL,_type
rust,unit_type,NONTERMINAL,_type
rust,_type,NONTERMINAL,bracketed_type
rust,qualified_type,NONTERMINAL,bracketed_type
rust,_type,NONTERMINAL,qualified_type
